orden,indice,address,suburb,latitude,longitude
0,0,1 Datchet Turn,Bertram,-32.23789039,115.8423672
1,15,11 Datchet Turn,Bertram,-32.23834424,115.8423552
2,4,10 Corrour Bend,Bertram,-32.23866083,115.8439947
3,14,107 Millbrook Avenue,Bertram,-32.23797643,115.8447825
4,13,104 Price Parkway,Bertram,-32.2413261,115.8434545
5,7,10 Sanctuary Drive,Bertram,-32.243584,115.849431
6,6,10 Kakadu Rest,Bertram,-32.24692,115.85138
7,11,10 Warrior Pass,Bertram,-32.24788,115.84568
8,9,10 Tranby Way,Bertram,-32.24824558,115.8450503
9,2,10 Addingham Crescent,Bertram,-32.25049428,115.8456071
10,8,10 Squires Avenue,Bertram,-32.251683,115.846661
11,17,11 Karda Way,Bertram,-32.253582,115.845555
12,16,11 Heathcote Way,Bertram,-32.254032,115.845861
13,1,1 McKenzie Corner,Bertram,-32.254559,115.84725
14,3,10 Cleopatra Circuit,Bertram,-32.25330798,115.8438598
15,12,10 Yelka Way,Bertram,-32.24991,115.84254
16,18,11 Moombaki Avenue,Bertram,-32.25006,115.83905
17,5,10 Daniels Place,Bertram,-32.2513906,115.8381918
18,10,10 Wanstead Vista,Bertram,-32.249729,115.835951
19,19,11 Ostling Avenue,Bertram,-32.248313,115.837873
20,0,1 Datchet Turn,Bertram,-32.23789039,115.8423672
