orden,indice,address,suburb,latitude,longitude
0,0,1 Datchet Turn,Bertram,-32.23789039,115.8423672
1,15,11 Datchet Turn,Bertram,-32.23834424,115.8423552
2,19,11 Ostling Avenue,Bertram,-32.248313,115.837873
3,10,10 Wanstead Vista,Bertram,-32.249729,115.835951
4,5,10 Daniels Place,Bertram,-32.2513906,115.8381918
5,18,11 Moombaki Avenue,Bertram,-32.25006,115.83905
6,12,10 Yelka Way,Bertram,-32.24991,115.84254
7,3,10 Cleopatra Circuit,Bertram,-32.25330798,115.8438598
8,17,11 Karda Way,Bertram,-32.253582,115.845555
9,16,11 Heathcote Way,Bertram,-32.254032,115.845861
10,1,1 McKenzie Corner,Bertram,-32.254559,115.84725
11,8,10 Squires Avenue,Bertram,-32.251683,115.846661
12,2,10 Addingham Crescent,Bertram,-32.25049428,115.8456071
13,9,10 Tranby Way,Bertram,-32.24824558,115.8450503
14,11,10 Warrior Pass,Bertram,-32.24788,115.84568
15,6,10 Kakadu Rest,Bertram,-32.24692,115.85138
16,7,10 Sanctuary Drive,Bertram,-32.243584,115.849431
17,13,104 Price Parkway,Bertram,-32.2413261,115.8434545
18,4,10 Corrour Bend,Bertram,-32.23866083,115.8439947
19,14,107 Millbrook Avenue,Bertram,-32.23797643,115.8447825
20,0,1 Datchet Turn,Bertram,-32.23789039,115.8423672
